"id","domain","declared_type","authority","access_result","content_surface","account_or_profile_signal","decision","next_action"
"70","bourges.onvasortir.com","profile","62","200","public personal profile","example profile shows multiple outbound links; signup requires a non-business/non-advertising declaration","restricted_profile_route","Do not create a promotional account or falsely accept the registration declaration"
"71","blog.cookaround.com","blog","60","200","open comment form","community login plus author URL field in comments","profile_audit","Inspect community profile/blog account and URL field"
"73","www.thaiticketmajor.com","forum","73","200","legacy campaign page","member login and registration visible","profile_audit","Inspect member account profile for public website field"
"74","www.riskresiliencelab.paloaltou.edu","blog","67","200","no public comment on example","site/member profile not yet verified","profile_audit","Inspect Wix member/login surfaces and author profiles"
"75","www.extradom.pl","blog","71","200","house project page","registration describes a private account for favorites, downloads, and order history; no public profile signal","private_account_route","Do not create a shopping account solely for backlinks unless a public profile route is found"
"77","decidim.u-pec.fr","blog","73","200","civic proposals and comments","public profile has one clickable Personal website field; About URLs render as plain text","partially_published","MCP Radar published; four targets need another compliant clickable route"
"81","feedback.jobplanet.co.kr","forum","53","403 scripted request; ERR_CONNECTION_CLOSED in Chrome","feedback portal","site could not be opened for account/profile inspection","inaccessible","Retry later; do not reject accessible alternatives by topic"
"83","prismo.fedibird.com","nav","68","200","independent Story submission","registered account and public author profile","published","Five Stories published and outbound links verified"
"84","app.geniusu.com","blog","66","200","circle discussions","account 2821204 activated; Website and About fields saved but omitted from the public profile","profile_updated_no_public_link","Keep account; do not count a backlink unless GeniusU begins rendering the fields"
"85","iubungei.cloud-line.com","forum","71","200","public comment form","comment form has author, email, URL, and comment fields","profile_audit","Use only for relevant contextual comments; one Website URL per comment"
"88","www.minemurashouten.com","forum","31","200 partial/slow","commercial article","member login at /_ga/login.cgi","profile_audit","Inspect whether My Page has a public profile or website field"
"91","quickcoop.videomarketingplatform.co","blog","70","200","video viewer","login route and channel pages exist","profile_audit","Inspect channel/account profile external website fields"
"93","app.wedonthavetime.org","blog","70","200","social posts","public profiles expose at least a LinkedIn/social external link","profile_audit","Inspect editable social fields and whether a normal Website field is available"
"95","blogg.ng.se","blog","64","200","legacy WordPress comment form","comment form has author, email, Website URL, and comment fields","profile_audit","Use only for relevant contextual comments; one Website URL per comment"
"96","pokemon.stranky1.cz","forum","42","200","guestbook/comment form","name and comment fields plus Google reCAPTCHA; no separate Website field observed","profile_audit","Requires user participation for CAPTCHA; do not treat plain comment URL as a profile link"
"102","diariodecuba.com","blog","62","200","news comments","/user/register submitted for wangknit; comments explicitly disallow advertising","registration_pending","Wait for activation email, then inspect profile fields; do not post promotional comments"
"104","video.assens.dk","blog","61","200","municipal video page","no account signal in static HTML","profile_audit","Inspect interactive UI for login/profile controls"
"108","tibatattoo.de","blog","17","200 via corrected .de domain","Wix article/site","old .com redirects to tibatattoo.de; no member/profile controls observed on the article/site page","profile_audit","Keep searching visible site navigation for a legitimate member/profile route"
"109","www.tvworthwatching.com","blog","40","200 over HTTP outside Chrome","article page","HTTPS certificate invalid; HTTP returned a blank page in Chrome during profile inspection","profile_audit","Retry HTTP in a compatible browser before classifying the profile route"
"112","mattsoncreative.com","blog","37","200","old WordPress article","no static registration signal","profile_audit","Inspect WordPress account/comment author profile options"
