module,action,target_url,page_title,primary_keyword,primary_volume_us,primary_kd,cluster_volume_us,keyword_count,supporting_keywords,evidence,page_type,source
content,create_ready,/guides/cursor-mcp-spawn-npx-enoent,cursor enoent,cursor mcp spawn npx enoent,1600,24,1600,1,cursor mcp spawn npx enoent (1600),skill-classified core demand,troubleshooting,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/mcp-error-32001-request-timed-out,timeout 32001,mcp error -32001: request timed out,260,0,300,3,mcp error -32001: request timed out (260); mcp client timeout (20); mcp tool timeout (20),skill-classified core demand,troubleshooting,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-mcp-servers-for-marketing,best marketing,best mcp servers for business sales marketing,2900,13,2900,1,best mcp servers for business sales marketing (2900),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-mcp-servers-for-claude-code,best claude code,best mcp servers for claude code,320,10,680,7,best mcp servers for claude code (320); best mcps for claude code (90); best claude code mcp servers (70); best mcp for claude code (70); best claude code mcps (70); best claude code mcp (40); best mcp tools for claude code (20),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-mcp-servers-for-cursor,best cursor,best mcp servers for cursor,260,19,320,3,best mcp servers for cursor (260); best mcps for cursor (40); best mcp tools for cursor (20),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-mcp-servers-for-ai-tools,best ai tools,best mcp servers ai tools,260,0,260,1,best mcp servers ai tools (260),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-mcp-servers-for-developers,best developers,best mcp servers for developers,50,23,180,4,best mcp servers for developers (50); best mcp servers for coding (50); best mcp servers for vibe coding (40); useful mcp servers for developers (40),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-mcp-servers-for-seo,best seo,best mcp server for seo,210,11,210,1,best mcp server for seo (210),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-search-mcp-servers,best search,best search mcp,50,30,50,1,best search mcp (50),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-ui-mcp-servers,best ui,best ui mcp,70,17,70,1,best ui mcp (70),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/best-mcp-servers,best general,best mcp servers,1900,48,2800,7,best mcp servers (1900); top mcp servers (320); best mcp (170); best mcp server (170); best mcps (140); top mcp servers 2026 (50); best mcp servers 2025 (50),skill-classified core demand,best-of,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/how-to-build-an-mcp-server,build server,how to build an mcp server,390,24,3220,27,how to build an mcp server (390); how to create claude mcp server (390); how to build mcp server (320); create mcp server (260); how to create an mcp server (260); how to create mcp server (260); how to build a mcp server (140); create an mcp server (140); how to create a mcp server (140); how to make an mcp server (140); how to make mcp server (140); creating mcp server (70); how to build an mcp server python (70); how to build mcp servers (70); mcp server tutorial python (50); figma make mcp server (50); mcp tutorial python (40); how to create a local mcp server (40); how to build your own mcp server (30); writing an mcp server (30); how to implement mcp server (30); build mcp server python (30); how to develop an mcp server (30); create mcp server python (30); how to write a mcp server (30); how to build remote mcp server (20); how to create a remote mcp server (20),skill-classified core demand,how-to,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/mcp-server-examples,server examples,mcp server examples,720,59,1310,9,mcp server examples (720); mcp server example python (140); spring mcp server example (110); mcp python server example (90); examples of mcp servers (90); mcp server examples python (50); model context protocol example (50); github mcp server example (40); remote mcp server example (20),skill-classified core demand,examples,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/add-mcp-server-to-claude-desktop,claude desktop,claude desktop mcp servers configuration,390,23,1650,18,claude desktop mcp servers configuration (390); claude desktop mcp server configuration (210); claude desktop mcp configuration (170); claude desktop mcp servers how to connect (110); add mcp server to claude desktop (110); claude desktop mcp how to add servers (90); claude desktop mcp how to connect server (70); claude desktop mcp how to add server (70); add mcp to claude desktop (70); claude desktop mcp stdio connection (50); claude desktop mcp configuration file path (50); how to use mcp with claude desktop (50); claude desktop mcp server connect (40); claude desktop mcp servers how to add (40); claude desktop mcp server how to connect (40); claude desktop mcp server config (40); claude desktop mcp setup (30); claude desktop remote mcp server configuration (20),skill-classified core demand,client setup,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/use-mcp-servers-in-vscode,vscode,vscode mcp server,390,63,2110,16,vscode mcp server (390); vs code mcp client extension (260); vscode mcp servers (260); vs code mcp extension (210); vs code mcp server (170); vs code mcp servers (170); vs code mcp server markitdown-mcp (170); vscode add mcp server (110); add mcp server to vscode (70); use mcp servers in vs code (70); vs code mcp client (50); vscode-mcp-server (50); how to add mcp server to vscode (50); vscode mcp client (40); vscode as mcp client (20); vscode remote mcp server (20),skill-classified core demand,client setup,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/add-mcp-server-to-cursor,cursor,add mcp server to cursor,170,25,250,3,add mcp server to cursor (170); cursor configure mcp (40); how to add mcp to cursor (40),skill-classified core demand,client setup,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/add-mcp-server-to-chatgpt,chatgpt,add mcp to chatgpt,70,35,250,5,add mcp to chatgpt (70); how to add mcp server to chatgpt (50); chatgpt connect to mcp (50); chatgpt connect to mcp server (40); how to use mcp with chatgpt (40),skill-classified core demand,client setup,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/add-mcp-server-to-gemini-cli,gemini,gemini cli add mcp,90,21,140,2,gemini cli add mcp (90); gemini connect to mcp server (50),skill-classified core demand,client setup,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/add-mcp-server-to-codex,codex,codex install mcp,50,26,50,1,codex install mcp (50),skill-classified core demand,client setup,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/use-mcp-with-claude-free-plan,claude free,how to use mcp claude free plan,390,27,460,2,how to use mcp claude free plan (390); is claude mcp free (70),skill-classified core demand,client setup,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/test-mcp-server-with-inspector,test inspector,how to use mcp inspector,90,31,120,2,how to use mcp inspector (90); how to test an mcp server (30),skill-classified core demand,testing,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/how-to-deploy-and-host-an-mcp-server,deploy host,hosted mcp servers,210,29,780,14,hosted mcp servers (210); self-hosted mcp server (70); host mcp server (70); salesforce hosted mcp servers (70); salesforce hosted mcp server (50); hosted mcp server (50); deploy mcp server to azure (40); self host mcp server (40); hosting mcp server (40); how to deploy a mcp server (40); self hosted mcp server (30); how to host mcp server (30); mcp host mcp client mcp server (20); deploy remote mcp server (20),skill-classified core demand,how-to,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/mcp-registry,registry,mcp registry,1600,43,3460,12,mcp registry (1600); github mcp registry (880); mcp server registry (260); mcp registry github (170); model context protocol mcp registry commerce storefront for digital goods (140); glama mcp registry (90); official mcp registry (70); model context protocol registry (70); what is mcp registry (50); github mcp server registry (50); mcp server registry github (40); mcp registry anthropic (40),skill-classified core demand,explainer,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/mcp-authentication-and-oauth,oauth auth,mcp server authentication,210,29,1140,16,mcp server authentication (210); mcp spec sep-1880 sep-1881 authorization field tool scopes (210); mixpanel mcp server npm github api key authentication alternative (170); factory droid supabase mcp authentication connection guide 2025 (90); oauth mcp (90); mcp server oauth (70); mcp server authentication and authorization (50); mcp oauth 2.1 (50); google oauth mcp (40); mcp authentication and authorization (30); auth0 mcp authentication (30); mcp client authentication (20); mcp client oauth (20); mcp oauth client (20); mcp tool authentication (20); remote mcp server authentication (20),skill-classified core demand,security guide,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/is-mcp-open-source,open source license,model context protocol open source license free,720,67,800,3,model context protocol open source license free (720); model context protocol open source (40); is model context protocol open source (40),skill-classified core demand,explainer,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/are-mcp-servers-free,free pricing,are mcp servers free,390,24,820,3,are mcp servers free (390); free mcp servers (390); free mcp tools (40),skill-classified core demand,explainer,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/how-to-list-mcp-tools,tools list,mcp list tools,320,40,510,6,mcp list tools (320); mcp tools list (90); list mcp tools (30); mcp server tools list (30); list of mcp tools (20); mcp tools directory (20),skill-classified core demand,how-to,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/mcp-tools-explained,tools explained,mcp tool example,40,0,240,8,mcp tool example (40); mcp tools example (40); mcp tools meaning (40); mcp tool definition (30); mcp tool meaning (30); mcp server tool definition (20); mcp tool examples (20); mcp tools examples (20),skill-classified core demand,explainer,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/guides/mcp-alternatives,alternatives,mcp alternatives,90,36,90,1,mcp alternatives (90),skill-classified core demand,alternatives,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/mcp-vs-rag,mcp vs rag,rag vs mcp,720,26,1310,2,rag vs mcp (720); mcp vs rag (590),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/mcp-vs-a2a,mcp vs a2a,a2a vs mcp,720,32,1520,4,a2a vs mcp (720); mcp vs a2a (590); a2a protocol vs mcp (140); agent to agent vs mcp (70),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
content,create_ready,/compare/mcp-vs-cli,mcp vs cli,mcp vs cli,390,28,650,2,mcp vs cli (390); cli vs mcp (260),skill-classified core demand,comparison,full-skill-run keywords.csv + semantic one-intent clustering
