cluster,primary_keyword,decision,page_type,target_url,priority,reason,evidence_status,next_action
claude-code-mcp-config,claude code mcp server configuration,enrich,task guide,/en/guides/claude-code-mcp-config,P0,Verified 880/KD21 demand and an existing matching URL; official documentation dominates while the current page is only about one minute,required,Retest current CLI syntax scopes storage paths approvals env expansion and verification commands against official docs
mcp-proxy-vs-gateway,mcp proxy server vs mcp gateway,enrich,architecture comparison,/en/guides/mcp-proxy-vs-gateway,P1,Verified 720/KD19 demand but the existing matching page should own the intent; strong production SERP requires more than definitions,required,Add a dated proxy-versus-gateway decision matrix and one reproducible transport/governance example
mcp-resources-vs-tools,mcp resources vs tools,create_content,concept comparison,/en/guides/mcp-resources-vs-tools,P0,Verified 590/KD24 demand independent task and no existing URL; site can add specification-backed examples from its server inventory,required,Create one static guide with tools resources and prompts boundaries plus executable schemas
remote-mcp-server-discovery,remote mcp servers,enrich,directory landing,/en/remote-mcp-servers,P0,Verified 480/KD24 demand and the SERP expects working directories; the existing live inventory already has 427 servers but shows a stale source date,required,Align visible freshness with the dataset and add endpoint auth transport and last-checked filters
best-mcp-servers-claude-code,best mcp servers for claude code,create_content,data-backed best-of,/en/guides/best-mcp-servers-for-claude-code,P0,Verified 320/KD10 demand and no matching URL; MCP Radar can contribute current health compatibility permissions and exclusion evidence,required,Test a small candidate set in Claude Code and publish the scoring method and rejected candidates
best-mcp-servers-cursor,best mcp servers for cursor,create_content,data-backed best-of,/en/guides/best-mcp-servers-for-cursor,P0,Verified 260/KD19 demand and no matching URL; directory evidence can support a Cursor-specific decision page,required,Test setup and failure cases in current Cursor before ranking candidates
cursor-mcp-spawn-npx-enoent,cursor mcp spawn npx enoent,enrich,troubleshooting guide,/en/guides/cursor-mcp-spawn-npx-enoent,P0,Verified 1600/KD24 demand and an existing exact-error URL; the focused competitor now has a more complete OS-specific diagnostic flow,required,Reproduce on macOS Windows and Linux and add log locations absolute-path fixes and before/after configs
mcp-error-32001-timeout,mcp error -32001: request timed out,enrich,troubleshooting guide,/en/guides/mcp-error-32001-timeout,P0,Verified 260/KD0 demand and an existing exact-error URL; no need for another article,required,Reproduce launch initialize list auth upstream and tool-handler timeout stages with observable checks
mcp-security-best-practices,mcp security best practices,enrich,security guide,/en/guides/mcp-security-red-lines,P1,Verified 210/KD24 demand and a matching guide; official MCP OWASP Microsoft and NSA sources make a new overlapping article wasteful,required,Replace unsupported red-line claims with dated primary-source controls and an evidence-linked checklist
mcp-vs-rag,mcp vs rag,enrich,architecture comparison,/en/guides/rag-vs-mcp,P1,Verified 590/KD28 demand and an existing guide; strong SERP now includes benchmarks and enterprise publishers,required,Add reproducible examples or a small benchmark and clearly separate retrieval pattern from interoperability protocol
mcp-vs-a2a,mcp vs a2a,enrich,protocol comparison,/en/guides/a2a-vs-mcp,P1,Verified 590/KD28 demand and an existing guide; recent implementation research raises the evidence threshold,required,Update against current MCP and A2A specs and add a reviewed combined sequence diagram
mcp-vs-cli,mcp vs cli,enrich,architecture comparison,/en/guides/mcp-vs-cli,P1,Verified 390/KD28 demand and an existing guide; strong current SERP includes token cost governance and hybrid-pattern evidence,required,Benchmark the same tasks through CLI and MCP and disclose setup model and measurement limits
mcp-vs-function-calling,mcp vs function calling,create_content,concept comparison,/en/guides/mcp-vs-function-calling,P1,Verified 110/KD10 demand independent intent and no existing URL; a layered implementation example can add specific value,required,Build one tool both ways and document discovery transport lifecycle and invocation boundaries
mcp-server-pricing-free,are mcp servers free,merge,explainer section,/en/what-is-mcp-server,P0,Verified 390/KD5 demand but the existing explainer already answers the cost question; a standalone page would cannibalize it,required,Expand the existing answer with protocol software hosting upstream API and SaaS cost layers plus current dataset examples
what-is-an-mcp-server,what is an mcp server,enrich,pillar explainer,/en/what-is-mcp-server,P2,Very high 5400 volume but KD46 and official-source dominance; preserve one canonical explainer and improve evidence rather than create variants,required,Refresh transport terminology capability definitions and dated adoption claims from primary sources
mcp-server-directory-homepage,mcp server directory,enrich,directory homepage,/en,P2,Verified 170/KD49 head term and a stronger 320/KD35 variant; the SERP expects searchable inventory and the homepage already provides it,required,Strengthen current counts update date filters methodology and trust caveats on the homepage
mcp-primitives-three-way,mcp resources vs tools vs prompts,merge,comparison section,/en/guides/mcp-resources-vs-tools,none,Volume 30 and KD unavailable; the three-way task is a section of the admitted resources-versus-tools comparison,not_applicable,Include prompts in the same comparison table and do not create another URL
generic-mcp-server-setup,mcp server setup,merge,explainer section,/en/what-is-mcp-server,P2,Verified 110/KD25 demand but generic setup is already part of the explainer and should route to client or entity guides,ready,Improve the setup chooser and internal links without creating a generic duplicate
best-mcp-servers-business,best mcp servers for business sales marketing,hold,data-backed best-of,/en/guides/best-mcp-servers-for-business,none,Directional volume 2900 comes from an awkward phrase with missing KD; natural business marketing and sales variants were not metrically validated,blocked,Refresh natural-phrase metrics and exact runnable entity coverage before expanding or retitling the live page
interactive-mcp-server-compare,compare mcp servers,hold,interactive tool,/en/compare?ids=,none,The working comparison utility already exists and is correctly noindex; demand metrics and stable canonical combinations are unavailable,required,Keep noindex and instrument compare use before considering any indexable static combinations
google-sheets-mcp-manus,google sheets mcp server for manus ai,develop_first,client integration guide,,none,Volume 880 is directional but KD exact server identity and Manus compatibility are unavailable; the site cannot honestly promise the workflow,blocked,Verify a real Google Sheets server in current Manus and capture configuration auth and successful output before admitting a page
build-an-mcp-server-tutorial,how to build an mcp server,reject,developer tutorial,,none,Verified 390/KD24 demand but official protocol and platform docs satisfy the generic task; MCP Radar has no unique builder test harness or implementation dataset,not_applicable,Reconsider only after building a differentiated validation tool or benchmark
mcp-logo-assets,mcp logo,reject,asset page,,none,High measured demand is asset-seeking and outside the site's server discovery health comparison and monitoring promise,not_applicable,Do not pursue trademark or icon-download traffic
mcp-client-directory,mcp client ui,reject,client directory,,none,Verified 720/KD22 demand but the product boundary is MCP servers rather than client applications; capability and entity graph do not match,not_applicable,Route future client research to a separate product decision
agent-skills-directory,agent skills directory,reject,skills directory,,none,Measured 50/KD48 demand belongs to a separate skills entity graph already assigned to another site,not_applicable,Preserve server topical focus and do not add a skills module here
