"id","domain","example_surface","access_result","profile_or_account_result","content_route_result","decision","verified_clickable_links","next_safe_action"
"114","www2.archivists.org","SAA news comment","200; browser opened","Current authentication uses Nimble/Salesforce; legacy form is administrator-only","Old comment exists, but the supplied example is unrelated to the five targets","legacy_admin_only_and_context_mismatch","0","Do not use unknown legacy credentials or post an unrelated archive comment"
"127","www.c-sharpcorner.com","developer interview/article community","200; browser opened","Account registered and email-verified; public profile exists; homepage URL locked to ranked users; descriptions reject URLs","Original technical article submissions are possible; unrelated replies are not appropriate","account_active_no_public_link_field","0","Prepare a substantive technical article for editorial review before including a relevant source link"
"149","www.bostonprideforthepeople.org","Wix nonprofit blog","200; browser opened","Registration and public member-profile routes are visible","Article topic and community purpose are unrelated to the five targets","context_mismatch","0","Do not create a promotional nonprofit-community profile solely for backlinks"
"151","lists.lysator.liu.se","Mailman/HyperKitty mailing-list archive","200; browser opened","Account registered and email-activated; profile has no Website/Bio/Signature field","Mailing-list posting exists but sends messages to real subscribers","account_active_no_public_link_field","0","Only post when making a genuine list-topic contribution"
"152","happilyevaafter.com","WordPress parenting comment","200","Comment author Website field detected; no separate public member profile verified","Parenting article is unrelated to the five targets; the supplied URL is a moderation link","context_mismatch","0","Do not submit an unrelated promotional comment"
"155","www.techbang.com","technology news comment","200 by read-only request; controlled browser blocked interaction","No verified public Website/Profile field","Comment surface detected without a separate author URL field","browser_security_block","0","Do not bypass browser security policy; retry only in an approved future session"
"157","www.waspnation.com","Wix music blog","200; browser opened","No member/profile controls found on the example article","No usable public submission controls found","no_publish_surface","0","No action"
"161","chupin-philippe.com","portfolio image page","200","No account/profile route found","No relevant comment or article-submission form found","no_publish_surface","0","No action"
"166","blog.udn.com","general UDN blog platform","200; browser opened","Registration form available, but server repeatedly rejected compliant unique passwords","Blog publishing would be possible only after account creation","registration_error","0","Retry registration later or use Google OAuth only with an existing authorized browser session"
"169","ncsota.org","performing-arts event page","200","No public member/profile route found","No submission form found","no_publish_surface","0","No action"
"171","www.organic-mallorca.com","staff profile page","200","No public account/profile editor found","No public content submission found","no_publish_surface","0","No action"
"172","souda.jp","Japanese legacy BBS","200","No reusable public profile identified","BBS exposes a URL field, but its conversation is unrelated","context_mismatch","0","Do not use a legacy BBS for an unrelated link drop"
"175","fourloop.s11.xrea.com","legacy music comments","200 over HTTP","No public account/profile identified","No live form found in the returned example page; topic is unrelated","no_publish_surface","0","No action"
"176","www.upendogroup.ngdafrica.com","legacy SPIP article","200 over HTTP","No public profile route verified","Article feedback forms exist on an insecure HTTP site and are unrelated","context_mismatch","0","Do not submit unrelated promotional content over HTTP"
"177","www.tt.rim.or.jp","legacy Japanese guestbook","200 over HTTP","No reusable public profile identified","Guestbook exposes a URL field, but it is unrelated and would be a link drop","context_mismatch","0","Do not post guestbook spam"
"180","www.students.universityofgalway.ie","Wix student sample blog","200","No appropriate independent public-profile route verified","Student-site sample article is unrelated to the five targets","context_mismatch","0","Do not register a promotional student-community profile"
"183","www.viact.ai","AI/construction blog","200; browser opened","No public member/profile controls found","No comment or public submission widget rendered on the article","no_publish_surface","0","No action unless the site later enables a contributor route"
"186","www.horosvaz.cz","climbing-association comments","200","No public Website/Profile field verified","Comment form exists, but the page topic is unrelated","context_mismatch","0","Do not submit an unrelated comment"
"187","www.ain-soph.jp","restaurant Wix blog","200","No public member/profile route found","No suitable public submission route found","no_publish_surface","0","No action"
"188","www.plntburger.com","restaurant Wix blog","200","No public member/profile route found","No suitable public submission route found","no_publish_surface","0","No action"
