page_id,target_url,page_type,primary_keyword,supporting_keywords,gross_volume,avg_kd,intent,priority,wave,indexing,unique_value,status,notes
skills-directory,/skills/,directory-hub,claude skills marketplace,"agent skills marketplace; skills directory; claude skills directory; ai skills marketplace",8790,38,commercial,P0,0,index,"Verified filters for client, task, source, install method, and safety evidence.",planned,"Do not create a separate marketplace URL."
what-agent-skills,/what-are-agent-skills/,pillar,agent skills,"agent skill; ai agent skills; anthropic agent skills; agent skills examples",8650,42,informational,P1,0,index,"Specification map plus Skills-vs-MCP and client compatibility table.",planned,"Strong official-source SERP."
claude-skills,/skills/claude-code/,client-hub,claude skills,"claude code skills; anthropic skills; claude skills repo; claude code /skills",49540,51,mixed,P1,0,index,"Route users by install, find, create, and troubleshoot jobs.",planned,"Avoid a generic giant list."
install-skills,/guides/install-agent-skills/,guide,npx skills,"how to add skills to claude code; skill-installer; .agents/skills; download claude skills",4630,33,transactional,P0,0,index,"Tested command matrix by client with rollback and source verification.",planned,"Own both npx and manual install intents."
skill-md-guide,/guides/skill-md/,guide,skill md,"skills file; claude skill.md; claude skill files; skill.md example",1330,29,informational,P0,0,index,"Annotated minimal file, schema checks, and validator CTA.",planned,"Exact-match domains make the naked query less attractive."
codex-skills,/skills/codex/,client-hub,openai codex skills,"skills for codex; codex skill installer; codex agent skills; openai skills github",1870,31,mixed,P0,0,index,"Official-install paths, discovery behavior, and tested skill shortlist.",planned,"AI Overview present."
awesome-claude,/skills/awesome-claude-skills/,curated-list,awesome-claude-skills,"best agent skills; superpowers claude skills; claude skills list",1400,9,commercial,P0,0,index,"Every recommendation carries a task test and date.",planned,"Best near-term editorial opportunity."
create-skill,/guides/create-agent-skill/,guide,skill-creator,"skill writer; skill-architect; create SKILL.md; publish agent skill",2430,25,informational,P0,0,index,"Downloadable template, validation checklist, and before/after example.",planned,"Link to validator tool."
browser-skills,/skills/categories/browser-automation/,category-hub,agent-browser skill,"dev-browser skill; browser use skill; playwright scraper skill",470,19,commercial,P0,0,index,"Capability and safety matrix backed by the same browser task fixture.",planned,"Launch with at least five verified candidates."
code-quality-skills,/skills/categories/code-quality/,category-hub,code review skill,"code review skills; react best practices skill; code-review-skill",320,17,commercial,P0,0,index,"Run one seeded-bug fixture across candidates.",planned,"Good evidence-led category."
document-skills,/skills/categories/documents/,category-hub,document skills,"docx skill; document-skills; claude docx skill",320,21,commercial,P0,0,index,"Compare supported formats and render-verification results.",planned,"Launch with at least five verified candidates."
skills-validator,/tools/skill-md-validator/,tool,skill md validator,"validate SKILL.md; skill file checker; skill schema validator",0,0,transactional,P0,0,index,"Original browser tool: parse frontmatter, structure, links, and risky commands.",planned,"Zero-volume adoption bet and natural link target."
frontend-design,/skills/anthropics/frontend-design/,detail,frontend-design skill,"claude frontend design skill; anthropic frontend-design skill",1600,13,commercial,P0,0,conditional,"Install verification plus fixed UI build test.",verification-needed,"Noindex until gate passes."
ui-ux-pro-max,/skills/nexu-io/ui-ux-pro-max/,detail,ui/ux pro max skill,"ui-ux pro max skill; ux ui pro max skill",790,9,commercial,P0,0,conditional,"Install verification plus fixed UI audit task.",verification-needed,"Noindex until gate passes."
