cluster_id,cluster_name,primary_keyword,keyword_count,gross_volume,avg_kd,intent,target_url,page_type,priority,serp_competition,wave,notes
directory-marketplace,Agent Skills Directory,claude skills marketplace,16,8790,38,commercial,/skills/,directory-hub,P0,medium,0,"Own marketplace + directory variants with one URL."
agent-skills-concept,What Are Agent Skills,agent skills,9,8650,42,informational,/what-are-agent-skills/,pillar,P1,strong,0,"Official/spec SERP; needs original compatibility and evidence model."
claude-hub,Claude and Claude Code Skills,claude skills,14,49540,51,mixed,/skills/claude-code/,client-hub,P1,strong,0,"Largest demand pool; broad intent requires routing rather than one long list."
install-cli,Install Agent Skills,npx skills,12,4630,33,transactional,/guides/install-agent-skills/,guide,P0,medium,0,"Merge npx, add, download, and folder-location variants."
skill-md,SKILL.md Guide and Validator,skill md,8,1330,29,informational,/guides/skill-md/,guide,P0,medium,0,"Pair guide with validator CTA; avoid targeting naked exact-match domains."
codex-hub,Codex Skills,openai codex skills,8,1870,31,mixed,/skills/codex/,client-hub,P0,medium,0,"Current AI Overview validates distinct Codex intent."
awesome-list,Best and Awesome Agent Skills,awesome-claude-skills,3,1400,9,commercial,/skills/awesome-claude-skills/,curated-list,P0,weak,0,"Low-KD opportunity; differentiate with task tests."
create-skill,Create an Agent Skill,skill-creator,4,2430,25,informational,/guides/create-agent-skill/,guide,P0,medium,0,"Cover skill-creator, authoring, validation, and publishing."
skills-vs-mcp,Agent Skills vs MCP,mcp skills,4,400,21,informational,/compare/agent-skills-vs-mcp/,comparison,P1,unknown,1,"Strong fit with existing MCP authority."
skills-vs-agents,Claude Code Skills vs Agents,claude code skills vs agents,1,90,19,informational,/compare/claude-code-skills-vs-agents/,comparison,P1,unknown,1,"Publish only if SERP remains distinct."
security-tool,Agent Skill Security Checker,skill scanner,2,530,34,commercial,/tools/agent-skill-security-checker/,tool,P1,unknown,1,"Safety gap observed around install commands and third-party skills."
category-browser,Browser Automation Skills,agent-browser skill,3,470,19,commercial,/skills/categories/browser-automation/,category-hub,P0,unknown,0,"Includes Playwright and browser-use candidates."
category-code-quality,Code Quality Skills,code review skill,4,320,17,commercial,/skills/categories/code-quality/,category-hub,P0,unknown,0,"Original test fixture can create repeatable evidence."
category-documents,Document Skills,document-skills,4,320,21,commercial,/skills/categories/documents/,category-hub,P0,unknown,0,"Docx/PDF/slides are discrete tasks and fit verification."
category-design,Design Skills,figma skill,3,400,35,commercial,/skills/categories/design/,category-hub,P1,unknown,1,"Include frontend, Figma, and Excalidraw after evidence checks."
category-data,Data Skills,dbt agent skills,2,310,20,commercial,/skills/categories/data/,category-hub,P1,unknown,1,"Do not confuse with employment database skills."
category-automation,Automation Skills,n8n skills,2,220,22,commercial,/skills/categories/automation/,category-hub,P1,unknown,1,"Client/tool compatibility is the core differentiator."
category-game-dev,Game Development Skills,godot skills,1,170,19,commercial,/skills/categories/game-development/,category-hub,P2,unknown,2,"Low priority until enough verified supply exists."
detail-entities,Verified Skill Detail Pages,frontend-design skill,12,2580,17,commercial,/skills/{owner}/{slug}/,detail,conditional,unknown,0,"Noindex until two evidence classes are verified."
