rank,module,target_url,page_type,primary_keyword,primary_volume_us,primary_kd,cluster_volume_us,keyword_count,current_entity_slug,evidence,supporting_keywords
1,entity,/servers/jira-mcp-server,entity landing,jira mcp,2900,50,5310,13,io-github-freema-mcp-jira-stdio,measured demand + unique current identity + active runnable entity + trust>=50,
2,content,/guides/mcp-registry,explainer,mcp registry,1600,43,3460,12,,skill-classified core demand,mcp registry (1600); github mcp registry (880); mcp server registry (260); mcp registry github (170); model context protocol mcp registry commerce storefront for digital goods (140); glama mcp registry (90); official mcp registry (70); model context protocol registry (70); what is mcp registry (50); github mcp server registry (50); mcp server registry github (40); mcp registry anthropic (40)
3,entity,/servers/obsidian-mcp-server,entity landing,obsidian mcp,1900,34,3370,10,ai-smithery-sunub-obsidian-mcp-server,measured demand + unique current identity + active runnable entity + trust>=50,
4,content,/guides/how-to-build-an-mcp-server,how-to,how to build an mcp server,390,24,3220,27,,skill-classified core demand,how to build an mcp server (390); how to create claude mcp server (390); how to build mcp server (320); create mcp server (260); how to create an mcp server (260); how to create mcp server (260); how to build a mcp server (140); create an mcp server (140); how to create a mcp server (140); how to make an mcp server (140); how to make mcp server (140); creating mcp server (70); how to build an mcp server python (70); how to build mcp servers (70); mcp server tutorial python (50); figma make mcp server (50); mcp tutorial python (40); how to create a local mcp server (40); how to build your own mcp server (30); writing an mcp server (30); how to implement mcp server (30); build mcp server python (30); how to develop an mcp server (30); create mcp server python (30); how to write a mcp server (30); how to build remote mcp server (20); how to create a remote mcp server (20)
5,content,/guides/best-mcp-servers-for-marketing,best-of,best mcp servers for business sales marketing,2900,13,2900,1,,skill-classified core demand,best mcp servers for business sales marketing (2900)
6,content,/guides/best-mcp-servers,best-of,best mcp servers,1900,48,2800,7,,skill-classified core demand,best mcp servers (1900); top mcp servers (320); best mcp (170); best mcp server (170); best mcps (140); top mcp servers 2026 (50); best mcp servers 2025 (50)
7,entity,/servers/openai-mcp-server,entity landing,openai mcp,1000,46,2370,23,ai-com-mcp-openai-tools,measured demand + unique current identity + active runnable entity + trust>=50,
8,content,/guides/use-mcp-servers-in-vscode,client setup,vscode mcp server,390,63,2110,16,,skill-classified core demand,vscode mcp server (390); vs code mcp client extension (260); vscode mcp servers (260); vs code mcp extension (210); vs code mcp server (170); vs code mcp servers (170); vs code mcp server markitdown-mcp (170); vscode add mcp server (110); add mcp server to vscode (70); use mcp servers in vs code (70); vs code mcp client (50); vscode-mcp-server (50); how to add mcp server to vscode (50); vscode mcp client (40); vscode as mcp client (20); vscode remote mcp server (20)
9,entity,/servers/gmail-mcp-server,entity landing,gmail mcp,1000,49,2060,14,io-github-domdomegg-gmail-mcp,measured demand + unique current identity + active runnable entity + trust>=50,
10,content,/guides/add-mcp-server-to-claude-desktop,client setup,claude desktop mcp servers configuration,390,23,1650,18,,skill-classified core demand,claude desktop mcp servers configuration (390); claude desktop mcp server configuration (210); claude desktop mcp configuration (170); claude desktop mcp servers how to connect (110); add mcp server to claude desktop (110); claude desktop mcp how to add servers (90); claude desktop mcp how to connect server (70); claude desktop mcp how to add server (70); add mcp to claude desktop (70); claude desktop mcp stdio connection (50); claude desktop mcp configuration file path (50); how to use mcp with claude desktop (50); claude desktop mcp server connect (40); claude desktop mcp servers how to add (40); claude desktop mcp server how to connect (40); claude desktop mcp server config (40); claude desktop mcp setup (30); claude desktop remote mcp server configuration (20)
11,content,/guides/cursor-mcp-spawn-npx-enoent,troubleshooting,cursor mcp spawn npx enoent,1600,24,1600,1,,skill-classified core demand,cursor mcp spawn npx enoent (1600)
12,content,/guides/install-remotion-mcp-server,entity integration,remotion mcp server github npm install claude,1600,39,1600,1,,skill-classified core demand,remotion mcp server github npm install claude (1600)
13,content,/compare/mcp-vs-a2a,comparison,a2a vs mcp,720,32,1520,4,,skill-classified core demand,a2a vs mcp (720); mcp vs a2a (590); a2a protocol vs mcp (140); agent to agent vs mcp (70)
14,content,/compare/mcp-vs-rag,comparison,rag vs mcp,720,26,1310,2,,skill-classified core demand,rag vs mcp (720); mcp vs rag (590)
15,content,/guides/mcp-server-examples,examples,mcp server examples,720,59,1310,9,,skill-classified core demand,mcp server examples (720); mcp server example python (140); spring mcp server example (110); mcp python server example (90); examples of mcp servers (90); mcp server examples python (50); model context protocol example (50); github mcp server example (40); remote mcp server example (20)
16,content,/guides/mcp-authentication-and-oauth,security guide,mcp server authentication,210,29,1140,16,,skill-classified core demand,mcp server authentication (210); mcp spec sep-1880 sep-1881 authorization field tool scopes (210); mixpanel mcp server npm github api key authentication alternative (170); factory droid supabase mcp authentication connection guide 2025 (90); oauth mcp (90); mcp server oauth (70); mcp server authentication and authorization (50); mcp oauth 2.1 (50); google oauth mcp (40); mcp authentication and authorization (30); auth0 mcp authentication (30); mcp client authentication (20); mcp client oauth (20); mcp oauth client (20); mcp tool authentication (20); remote mcp server authentication (20)
17,content,/compare/mcp-resources-vs-tools,comparison,mcp resources vs tools,590,24,900,9,,skill-classified core demand,mcp resources vs tools (590); mcp resource vs tool (70); mcp tool vs resource (70); mcp server resources vs tools (40); resources vs tools mcp (40); mcp resources vs tools vs prompts (30); mcp tool vs resource vs prompt (20); mcp tools vs resources (20); mcp tools vs resources vs prompts (20)
18,content,/guides/google-sheets-mcp-server-for-manus,entity integration,google sheets mcp server for manus ai,880,0,880,1,,skill-classified core demand,google sheets mcp server for manus ai (880)
19,content,/guides/are-mcp-servers-free,explainer,are mcp servers free,390,24,820,3,,skill-classified core demand,are mcp servers free (390); free mcp servers (390); free mcp tools (40)
20,content,/guides/is-mcp-open-source,explainer,model context protocol open source license free,720,67,800,3,,skill-classified core demand,model context protocol open source license free (720); model context protocol open source (40); is model context protocol open source (40)
21,entity,/servers/magic-mcp-server,entity landing,magic mcp,390,3,790,4,21st-dev-magic,measured demand + unique current identity + active runnable entity + trust>=50,
22,content,/guides/how-to-deploy-and-host-an-mcp-server,how-to,hosted mcp servers,210,29,780,14,,skill-classified core demand,hosted mcp servers (210); self-hosted mcp server (70); host mcp server (70); salesforce hosted mcp servers (70); salesforce hosted mcp server (50); hosted mcp server (50); deploy mcp server to azure (40); self host mcp server (40); hosting mcp server (40); how to deploy a mcp server (40); self hosted mcp server (30); how to host mcp server (30); mcp host mcp client mcp server (20); deploy remote mcp server (20)
23,content,/guides/best-mcp-servers-for-claude-code,best-of,best mcp servers for claude code,320,10,680,7,,skill-classified core demand,best mcp servers for claude code (320); best mcps for claude code (90); best claude code mcp servers (70); best mcp for claude code (70); best claude code mcps (70); best claude code mcp (40); best mcp tools for claude code (20)
24,entity,/servers/kubernetes-mcp-server,entity landing,kubernetes mcp server,320,42,670,4,mcp-server-kubernetes,measured demand + unique current identity + active runnable entity + trust>=50,
25,content,/compare/mcp-vs-cli,comparison,mcp vs cli,390,28,650,2,,skill-classified core demand,mcp vs cli (390); cli vs mcp (260)
26,entity,/servers/arxiv-mcp-server,entity landing,arxiv-mcp-server,320,7,640,5,io-github-cyanheads-arxiv-mcp-server,measured demand + unique current identity + active runnable entity + trust>=50,
27,entity,/servers/miro-mcp-server,entity landing,miro mcp,390,29,610,3,app-miromiro-miromiro,measured demand + unique current identity + active runnable entity + trust>=50,
28,entity,/servers/webflow-mcp-server,entity landing,webflow mcp,390,17,560,2,webflow-mcp-server,measured demand + unique current identity + active runnable entity + trust>=50,
29,entity,/servers/youtube-mcp-server,entity landing,youtube mcp,320,33,540,4,ai-smithery-kirbah-mcp-youtube,measured demand + unique current identity + active runnable entity + trust>=50,
30,content,/guides/how-to-list-mcp-tools,how-to,mcp list tools,320,40,510,6,,skill-classified core demand,mcp list tools (320); mcp tools list (90); list mcp tools (30); mcp server tools list (30); list of mcp tools (20); mcp tools directory (20)
31,content,/compare/mcp-vs-ai-agents,comparison,mcp vs agents,140,19,500,8,,skill-classified core demand,mcp vs agents (140); mcp vs agentic ai (90); mcp vs agent (70); agent vs mcp (70); agentic ai vs mcp server (40); mcp vs agent tools (30); ai agent vs mcp (30); ai agents vs mcp (30)
32,entity,/servers/meta-mcp-server,entity landing,meta mcp,210,30,490,4,meta-ads-mcp,measured demand + unique current identity + active runnable entity + trust>=50,
33,entity,/servers/apify-mcp-server,entity landing,apify mcp,480,55,480,1,apify-mcp-server,measured demand + unique current identity + active runnable entity + trust>=50,
34,content,/guides/use-mcp-with-claude-free-plan,client setup,how to use mcp claude free plan,390,27,460,2,,skill-classified core demand,how to use mcp claude free plan (390); is claude mcp free (70)
35,content,/compare/mcp-vs-function-calling,comparison,mcp vs function calling,110,10,400,7,,skill-classified core demand,mcp vs function calling (110); mcp vs tool calling (110); llm tool calling vs mcp (50); anthropic tool use vs mcp (40); anthropic claude tool use vs mcp (30); tool call vs mcp (30); tool calling vs mcp (30)
36,entity,/servers/sap-mcp-server,entity landing,sap mcp server,170,32,400,5,ai-oobeprotocol-sap-mcp-sap-mcp,measured demand + unique current identity + active runnable entity + trust>=50,
37,entity,/servers/zapier-mcp-server,entity landing,zapier mcp server,320,43,330,3,com-zapier-mcp,measured demand + unique current identity + active runnable entity + trust>=50,
38,content,/guides/best-mcp-servers-for-cursor,best-of,best mcp servers for cursor,260,19,320,3,,skill-classified core demand,best mcp servers for cursor (260); best mcps for cursor (40); best mcp tools for cursor (20)
39,entity,/servers/django-mcp-server,entity landing,django mcp server,210,23,320,2,io-github-frowningdev-django-orm-lens,measured demand + unique current identity + active runnable entity + trust>=50,
40,content,/compare/langchain-vs-mcp,comparison,langchain vs mcp,170,16,310,4,,skill-classified core demand,langchain vs mcp (170); mcp vs langchain (90); mcp vs langchain tools (30); langchain tools vs mcp (20)
41,content,/guides/mcp-error-32001-request-timed-out,troubleshooting,mcp error -32001: request timed out,260,0,300,3,,skill-classified core demand,mcp error -32001: request timed out (260); mcp client timeout (20); mcp tool timeout (20)
42,content,/compare/mcp-client-vs-server,comparison,mcp client vs server,110,36,300,7,,skill-classified core demand,mcp client vs server (110); mcp server vs client (90); mcp client vs host (20); mcp client vs mcp server (20); mcp host vs client (20); mcp host vs client vs server (20); mcp server vs mcp client (20)
43,entity,/servers/lucid-mcp-server,entity landing,lucid mcp,170,17,280,2,app-lucid-mcp-lucid,measured demand + unique current identity + active runnable entity + trust>=50,
