keyword,modifier,verdict,reason,relevance,volume,kd,priority
pipeboard.co meta ads mcp pricing free plan,pipeboard.co meta ads pricing free plan,attribute,topic/property of the core subject — guide page,core,2900,0,P0
how to enable google sheets mcp server in manus ai,how to enable google sheets in manus ai,attribute,task intent — guide page,core,880,22,P0
how to setup figma mcp,how to setup figma,attribute,task intent — guide page,core,480,39,P2
mcp server python example,python example,attribute,aggregation intent — listing/collection page,core,480,43,P2
how to use mcp expander,how to use expander,attribute,task intent — guide page,core,320,11,P0
github mcp server filesystem tools list read_file write_file create_directory,github filesystem tools list read file write file create directory,attribute,aggregation intent — listing/collection page,core,320,0,P1
list of mcp servers,list of,attribute,aggregation intent — listing/collection page,core,260,47,P2
mcp list,list,attribute,aggregation intent — listing/collection page,core,260,47,P2
could not connect to mcp server mcp-registry,could not connect to registry,attribute,task intent — guide page,core,210,10,P1
claude code windows install mcp servers,claude code windows install,attribute,task intent — guide page,core,210,31,P1
cursor.directory mcp,cursor.directory,attribute,aggregation intent — listing/collection page,core,210,24,P2
model context protocol vs code extension,model context protocol vs code extension,attribute,comparison intent — comparison page,core,170,25,P0
claude code install mcp,claude code install,attribute,task intent — guide page,core,170,32,P1
new mcp server release 2026,new release 2026,attribute,time-sensitive — blog/news module,core,170,37,P2
install playwright mcp,install playwright,attribute,task intent — guide page,core,170,37,P2
pip install mcp,pip install,attribute,task intent — guide page,core,170,37,P2
slack mcp server cursor ide setup 2026,slack cursor ide setup 2026,attribute,task intent — guide page,core,170,22,P2
llm vs mcp,llm vs,attribute,comparison intent — comparison page,core,140,0,P0
how to use mcp,how to use,attribute,task intent — guide page,core,140,66,P2
mcp list github,list github,attribute,aggregation intent — listing/collection page,core,140,65,P2
langchain mcp support news 2025,langchain support news 2025,attribute,time-sensitive — blog/news module,core,110,15,P1
mcp standard news,standard news,attribute,time-sensitive — blog/news module,core,110,27,P1
mcp とは,,attribute,head term itself — pillar page,core,110,27,P1
figma mcp setup,figma setup,attribute,task intent — guide page,core,110,49,P2
mcp server news november 2025,news november 2025,attribute,time-sensitive — blog/news module,core,110,29,P2
model context protocol tutorial,model context protocol tutorial,attribute,task intent — guide page,core,110,55,P2
best mysql mcp server,best mysql,attribute,aggregation intent — listing/collection page,core,90,4,P0
how to test mcp server,how to test,attribute,task intent — guide page,core,90,23,P1
how to become a mcp,how to become a,attribute,task intent — guide page,core,90,23,P1
mcp certification cost,certification cost,attribute,topic/property of the core subject — guide page,core,90,24,P1
mcp affiliation list,affiliation list,attribute,aggregation intent — listing/collection page,core,90,25,P1
list of mcp servers github,list of github,attribute,aggregation intent — listing/collection page,core,90,88,P2
awesome-mcp-servers existence,awesome existence,attribute,aggregation intent — listing/collection page,core,90,45,P2
playwright mcp install,playwright install,attribute,task intent — guide page,core,90,47,P2
cursor directory mcp,cursor directory,attribute,aggregation intent — listing/collection page,core,90,37,P2
awesome mcp github,awesome github,attribute,aggregation intent — listing/collection page,core,90,54,P2
best mcp client,best client,attribute,aggregation intent — listing/collection page,core,90,39,P2
shadcn registry mcp,shadcn registry,attribute,topic/property of the core subject — guide page,core,70,28,P0
