cluster,primary_keyword,supporting_keywords,search_task,strongest_volume,primary_kd,existing_url,likely_page_type,notes
claude-code-mcp-config,claude code mcp server configuration,claude code add mcp server | how to add mcp server to claude code,Configure an MCP server at the correct Claude Code scope and verify that it connected,880,21,/en/guides/claude-code-mcp-config,task guide,Official docs dominate and the current one-minute page is materially thinner than the task
mcp-proxy-vs-gateway,mcp proxy server vs mcp gateway,mcp gateway vs proxy,Choose a proxy for transport bridging or a gateway for centralized governance,720,19,/en/guides/mcp-proxy-vs-gateway,architecture comparison,Existing URL owns the intent but needs production evidence and a decision matrix
mcp-resources-vs-tools,mcp resources vs tools,mcp server resources vs tools | resources vs tools mcp,Decide whether an MCP capability should be exposed as a resource or a tool,590,24,,concept comparison,Independent task not served by an existing URL
remote-mcp-server-discovery,remote mcp servers,remote mcp | hosted mcp servers,Find a hosted endpoint that can be connected by URL and assess its transport and trust boundary,480,24,/en/remote-mcp-servers,directory landing,Working inventory exists; SERP expects a directory not an article
best-mcp-servers-claude-code,best mcp servers for claude code,best mcp servers for claude | what are the best mcp servers for claude code,Choose a small task-specific and safe MCP stack for Claude Code,320,10,,data-backed best-of,Recent SERP lists are crowded but MCP Radar has differentiated current health and compatibility evidence
best-mcp-servers-cursor,best mcp servers for cursor,best cursor mcp | cursor mcp servers,Choose maintained MCP servers that fit Cursor coding workflows,260,19,,data-backed best-of,Requires Cursor-specific testing rather than a generic directory reorder
cursor-mcp-spawn-npx-enoent,cursor mcp spawn npx enoent,mcp server spawn enoent | cursor mcp npx not found,Fix Cursor failing before launch because its process cannot resolve npx,1600,24,/en/guides/cursor-mcp-spawn-npx-enoent,troubleshooting guide,Existing page owns the error but a focused competitor now provides a deeper OS-specific checklist
mcp-error-32001-timeout,mcp error -32001: request timed out,error executing mcp tool: mcp error -32001: request timed out | mcp request timed out,Identify which protocol stage timed out and fix the underlying server auth network or handler issue,260,0,/en/guides/mcp-error-32001-timeout,troubleshooting guide,Existing page should be expanded rather than duplicated
mcp-security-best-practices,mcp security best practices,mcp server security best practices | mcp server security,Apply pre-install runtime authorization and monitoring controls to an MCP deployment,210,24,/en/guides/mcp-security-red-lines,security guide,Official MCP OWASP Microsoft and NSA guidance make freshness and primary sourcing mandatory
mcp-vs-rag,mcp vs rag,rag vs mcp,Choose MCP RAG or both for live actions and knowledge retrieval,720,28,/en/guides/rag-vs-mcp,architecture comparison,Existing guide owns the task but the SERP now includes recent benchmarks and enterprise comparisons
mcp-vs-a2a,mcp vs a2a,a2a vs mcp,Place MCP and A2A at the correct layers of an agent system,590,28,/en/guides/a2a-vs-mcp,protocol comparison,A recent implementation-grounded paper raises the evidence bar for the existing page
mcp-vs-cli,mcp vs cli,mcp vs cli tools,Choose MCP CLI or a hybrid integration for a specific agent tool,390,28,/en/guides/mcp-vs-cli,architecture comparison,Current SERP contains deep vendor and practitioner comparisons; the existing page needs reproducible measurements
mcp-vs-function-calling,mcp vs function calling,model context protocol vs function calling,Understand protocol discovery and lifecycle versus a model API invocation mechanism,110,10,,concept comparison,Independent comparison intent and no matching existing URL
mcp-server-pricing-free,are mcp servers free,free mcp servers | mcp server cost,Understand protocol server hosting API and SaaS cost layers before installing,390,5,/en/what-is-mcp-server,explainer section,The current explainer already answers this and should absorb the cluster
what-is-an-mcp-server,what is an mcp server,what is mcp server | mcp server meaning,Understand what an MCP server is how it works and what it exposes,5400,46,/en/what-is-mcp-server,pillar explainer,High demand but strong official and high-authority competition; existing URL is canonical
mcp-server-directory-homepage,mcp server directory,mcp directory | mcp servers directory,Search and filter current MCP server inventory,320,49,/en,directory homepage,SERP expects searchable inventory; enrich the product page not the blog
mcp-primitives-three-way,mcp resources vs tools vs prompts,,Compare all three MCP server primitives without creating a second overlapping comparison,30,,/en/guides/mcp-resources-vs-tools,comparison section,Low-volume variant belongs inside the resources-versus-tools page
generic-mcp-server-setup,mcp server setup,install mcp server | mcp server configuration,Understand the generic setup flow before following client- or entity-specific instructions,110,25,/en/what-is-mcp-server,explainer section,Generic intent overlaps the explainer and should route to client-specific setup guides
best-mcp-servers-business,best mcp servers for business sales marketing,best mcp servers for marketing | best mcp servers for sales teams,Choose MCP servers for business sales and marketing workflows,2900,,/en/guides/best-mcp-servers-for-business,data-backed best-of,Existing page is live but the measured phrase is awkward and its KD is unavailable
interactive-mcp-server-compare,compare mcp servers,mcp server comparison tool,Select multiple directory entities and compare their current evidence side by side,,,/en/compare?ids=,interactive tool,Utility intent is real but measured demand and stable indexable combinations are unavailable
google-sheets-mcp-manus,google sheets mcp server for manus ai,how to enable google sheets mcp server in manus ai,Connect a verified Google Sheets server to Manus and prove it works,880,,,client integration guide,Exact server identity Manus compatibility and KD are unavailable
build-an-mcp-server-tutorial,how to build an mcp server,create mcp server | build an mcp server,Build a standards-compliant MCP server from scratch,390,24,,developer tutorial,Official protocol and platform documentation dominate; MCP Radar lacks a unique builder or test harness
mcp-logo-assets,mcp logo,mcp server logo mcp icon,Download or identify MCP logos and icons,1600,26,,asset page,Asset-seeking intent does not fit discovery health comparison or monitoring
mcp-client-directory,mcp client ui,mcp clients,Find and compare MCP host or client applications,1000,22,,client directory,Related ecosystem but explicitly outside this site's server-only product boundary
agent-skills-directory,agent skills directory,,Browse reusable agent skill packages,50,48,,skills directory,Separate entity graph and already routed to a different site decision
