entity_id,name,entity_type,github_repo,source_evidence,observed_volume,primary_keyword,proposed_url,verified_install_command,tested_clients,security_scan_date,artifact_hash,last_commit,task_test_result,reproduced_error,evidence_classes,index_status,notes
anthropics-frontend-design,Frontend Design,skill,,keyword+sitemap,590,frontend-design skill,/skills/anthropics/frontend-design/,,,,,,,,0,noindex,"Resolve canonical repository before publishing."
nexu-ui-ux-pro-max,UI UX Pro Max,skill,,keyword+sitemap,320,ui/ux pro max skill,/skills/nexu-io/ui-ux-pro-max/,,,,,,,,0,noindex,"Resolve repository and license."
softaworks-humanizer,Humanizer,skill,,keyword+sitemap,320,humanizer skill,/skills/softaworks/humanizer/,,,,,,,,0,noindex,"Do not frame as detector evasion."
microsoft-playwright-cli,Playwright CLI,skill,,keyword+sitemap,170,playwright-cli skill,/skills/microsoft/playwright-cli/,,,,,,,,0,noindex,"Verify source ownership and exact install command."
obra-superpowers,Superpowers,skill,https://github.com/obra/superpowers,sitemap+keyword,90,superpowers claude skills,/skills/obra/superpowers/,,,,,,,,1,noindex,"Repository observed; freshness and task test pending."
remotion-dev-remotion,Remotion,skill,,keyword+sitemap,210,remotion claude skill,/skills/remotion-dev/remotion/,,,,,,,,0,noindex,"Render-test candidate."
notebooklm,NotebookLM Skill,skill,,keyword,210,notebooklm skill,/skills/notebooklm/,,,,,,,,0,noindex,"Owner unresolved; do not publish canonical detail yet."
figma,Figma Skill,skill,,keyword,170,figma skill,/skills/figma/,,,,,,,,0,noindex,"Owner unresolved."
notion,Notion Skill,skill,,keyword,90,notion skills,/skills/notion/,,,,,,,,0,noindex,"Owner unresolved; permission review required."
context7,Context7 Skill,skill,,keyword+sitemap,90,context7 skill,/skills/netresearch/context7-skill/,,,,,,,,0,noindex,"Confirm this is the intended source, not a namesake."
shadcn,Shadcn Skill,skill,,keyword+sitemap,110,shadcn skills,/skills/shadcn/,,,,,,,,0,noindex,"Multiple sources likely; owner resolution required."
excalidraw,Excalidraw Skill,skill,,keyword,90,excalidraw skill,/skills/excalidraw/,,,,,,,,0,noindex,"Owner unresolved."
dbt,DBT Agent Skills,skill-set,,keyword,260,dbt agent skills,/skills/dbt/,,,,,,,,0,noindex,"Potential category page rather than one canonical skill."
n8n,N8N Skills,skill-set,,keyword,170,n8n skills,/skills/n8n/,,,,,,,,0,noindex,"Potential category page; inspect distinct packages."
godot,Godot Skills,skill-set,,keyword,170,godot skills,/skills/godot/,,,,,,,,0,noindex,"Keep separate from game skill-tree queries."
openai-skills,OpenAI Skills,repository,https://github.com/openai/skills,keyword+sitemap,880,openai/skills,/skills/codex/,,,,,,,,1,noindex,"Use as evidence for client hub; repo detail not needed initially."
vercel-skills,Vercel Skills CLI,repository,https://github.com/vercel-labs/skills,SERP+keyword+sitemap,1300,vercel-labs/agent-skills,/guides/install-agent-skills/,,,,,,,,1,noindex,"Current repository name observed as vercel-labs/skills; old query variant persists."
composio-awesome-claude,Awesome Claude Skills by ComposioHQ,repository,https://github.com/ComposioHQ/awesome-claude-skills,SERP+sitemap,1400,awesome-claude-skills,/skills/awesome-claude-skills/,,,,,,,,1,noindex,"Input source for curated list, not a thin mirrored detail page."
travisvn-awesome-claude,Awesome Claude Skills by travisvn,repository,https://github.com/travisvn/awesome-claude-skills,SERP,0,awesome claude skills,/skills/awesome-claude-skills/,,,,,,,,1,noindex,"Input source for curated list."
addyosmani-agent-skills,Agent Skills by Addy Osmani,repository,https://github.com/addyosmani/agent-skills,SERP+sitemap,0,agent skills,/what-are-agent-skills/,,,,,,,,1,noindex,"Useful authority and examples source."
k-dense-scientific,K-Dense Scientific Skills,repository,,sitemap,0,scientific agent skills,/skills/categories/research/,,,,,,,,0,noindex,"Supply-first candidate category."
anthropics-skills,Anthropic Skills,repository,,sitemap+keyword,3600,anthropic skills,/skills/claude-code/,,,,,,,,0,noindex,"Resolve current official repository URL from primary source."
alirezarezvani-claude-skills,Claude Skills by alirezarezvani,repository,https://github.com/alirezarezvani/claude-skills,SERP+sitemap,140,alirezarezvani/claude-skills,/skills/awesome-claude-skills/,,,,,,,,1,noindex,"Large collection; sample and test rather than mirror."
composio-awesome-codex,Awesome Codex Skills,repository,https://github.com/composio-community/awesome-codex-skills,SERP+sitemap,0,codex skills,/skills/codex/,,,,,,,,1,noindex,"Input source for Codex hub."
agent-browser,Agent Browser Skill,skill,,keyword+sitemap,210,agent-browser skill,/skills/categories/browser-automation/,,,,,,,,0,noindex,"Candidate for common browser fixture."
browser-use,Browser Use Skill,skill,,keyword,90,browser use skill,/skills/categories/browser-automation/,,,,,,,,0,noindex,"Candidate for common browser fixture."
react-best-practices,React Best Practices Skill,skill,,keyword+sitemap,90,react best practices skill,/skills/categories/code-quality/,,,,,,,,0,noindex,"Candidate for seeded-bug fixture."
code-review,Code Review Skill,skill-set,,keyword+sitemap,110,code review skill,/skills/categories/code-quality/,,,,,,,,0,noindex,"Multiple sources; use category comparison first."
docx-skill,DOCX Skill,skill-set,,keyword+sitemap,50,docx skill,/skills/categories/documents/,,,,,,,,0,noindex,"Multiple sources; verify render output."
skill-creator,Skill Creator,skill,,keyword+sitemap,1600,skill-creator,/guides/create-agent-skill/,,,,,,,,0,noindex,"Guide target; avoid standalone thin detail."
skill-installer,Skill Installer,skill,,keyword,110,skill-installer,/guides/install-agent-skills/,,,,,,,,0,noindex,"Guide target; exact behavior varies by client."
