primary_keyword,supporting_keywords,cluster_volume_directional,primary_volume,kd,intent,subscription_score,base_priority,serp_verdict,serp_priority,a4_verdict,target_url,page_type,wave,status_vs_current,uniqueness_gate,notes
cursor mcp spawn npx enoent,"spawn npx ENOENT; cursor mcp enoent windows; cursor mcp enoent mac; connection state error spawn npx ENOENT",1600,1600,24,problem-solving,62.9,P0,weak,P0,create,/guides/cursor-mcp-spawn-npx-enoent,troubleshooting guide,Wave 0,new,"verified reproduction; editorial diagnostic tree; copyable OS-specific checks","One URL absorbs OS/client variants; do not split into thin Windows/Mac pages"
mcp error -32001: request timed out,"error executing mcp tool: mcp error -32001; MCP request timed out; custom MCP server timeout",270,260,0,problem-solving,68.7,P0,weak,P0,create,/guides/mcp-error-32001-request-timed-out,troubleshooting guide,Wave 0,new,"verified reproduction; editorial root-cause matrix; copyable timeout diagnostics","Separate from ENOENT because the failure stage and remediation are different"
mcp vs rag,"rag vs mcp; mcp and rag; what is rag and mcp",1310,590,28,commercial comparison,65.2,P0,medium,P0,create,/compare/mcp-vs-rag,comparison guide,Wave 0,new,"original protocol trace; editorial decision matrix; reproducible example architecture","Merge reverse-order head term into the same URL"
mcp resources vs tools,"resources vs tools mcp; mcp tools vs resources; mcp resources vs tools vs prompts",800,590,24,commercial comparison,68.1,P0,medium,P0,create,/compare/mcp-resources-vs-tools,comparison guide,Wave 0,new,"original request/response examples; editorial decision table; spec-verified citations","Official spec ranks but does not dominate"
mcp vs a2a,"a2a vs mcp; a2a protocol vs mcp; mcp and a2a",1560,590,28,commercial comparison,64.4,P0,medium,P0,create,/compare/mcp-vs-a2a,comparison guide,Wave 1,new,"original sequence diagram; editorial protocol selection matrix; dated primary sources","One page absorbs both query orders"
mcp vs cli,"cli vs mcp",650,390,28,commercial comparison,65.7,P0,medium,P0,create,/compare/mcp-vs-cli,comparison guide,Wave 1,new,"measured context/token example; editorial decision table; reproducible workflow","Keep generic CLI directory terms out of this page"
mcp vs function calling,"mcp and function calling",150,110,10,commercial comparison,69.4,P0,medium,P0,create,/compare/mcp-vs-function-calling,comparison guide,Wave 1,new,"original call-flow trace; editorial boundary table; working example","Low measured demand means later wave despite easy KD"
best mcp servers for claude code,"best mcps for claude code; best mcp for claude code; best mcp servers for claude",510,320,10,commercial investigation,73.2,P0,weak,P0,create,/guides/best-mcp-servers-for-claude-code,data-backed best-of,Wave 0,new,"computed health/adoption; editorial inclusion/exclusion; dated install checks","Use current dataset and explain why each server is or is not safe for a task"
best mcp servers for cursor,"best mcp for cursor; best mcps for cursor",410,260,19,commercial investigation,67.5,P0,medium,P0,create,/guides/best-mcp-servers-for-cursor,data-backed best-of,Wave 0,new,"computed health/adoption; editorial workflow fit; dated install checks","Different client workflow from Claude Code; distinct intent"
best mcp servers for marketing teams,"best mcp servers for business sales marketing; best MCP servers for marketers",2900,0,0,commercial investigation,76.8,P0,medium,P1,create,/guides/best-mcp-servers-for-marketing-teams,data-backed best-of,Wave 1,new,"42-entity computed dataset; editorial use-case grouping; dated runnable checks","Treat 2900 as directional source demand because the exported head phrase is unnatural; do not use it verbatim"
best mcp servers for sales teams,"best mcp servers for business sales marketing",0,0,0,commercial investigation,0,P2,strong,P2,merge,/guides/best-mcp-servers-for-marketing-teams#sales,best-of subsection,Wave 1,new,"only 6 clearly sales-oriented entities today","Do not create a standalone sales URL until supply and measured demand improve"
mcp security best practices,"mcp security architecture; mcp server security; MCP permission scoping",940,210,24,commercial information,66.5,P0,strong,P1,enrich,/guides/mcp-security-red-lines,existing guide enrichment,Wave 0,existing,"original trust-boundary model; editorial threat prioritization; dated primary sources","Official and security authorities dominate; enrich the existing page for applied long tails"
remote mcp servers,"remote mcp; remote mcp server; what is remote mcp server",1280,480,24,informational,60.6,P1,medium,P1,enrich,/remote-mcp-servers,existing data landing,Wave 0,existing,"425-entity computed facet; endpoint evidence; local-vs-remote editorial decision support","Do not create /category/remote as a competing duplicate"
google drive mcp,"google drive mcp server; google drive mcp server claude code; google drive mcp claude",2530,1000,64,transactional,56.9,P1,strong,P2,reject,,collect target,Backlog,missing exact asset,"requires exact verified Google Drive entity and current runnable configuration","Never map to Google Analytics or generic Drive wrappers; official Google docs now dominate the SERP"
mcp server directory,"mcp servers list; MCP catalog",170,170,49,informational,44.3,P2,medium,P2,enrich,/,homepage/category hub,Wave 1,existing,"817-entity dataset; transparent methodology; freshness and lifecycle evidence","Core category is competitive; strengthen the current hub instead of adding another directory URL"
