rank,page_group,gross_volume,cumulative_volume,cumulative_share,cutoff_note
1,Claude and Claude Code Skills hub,49540,49540,58.7%,"Mandatory despite high competition."
2,Agent Skills directory hub,8790,58330,69.1%,"Commercial core."
3,What Are Agent Skills pillar,8650,66980,79.4%,"Authority layer."
4,Install Agent Skills guide,4630,71610,84.9%,"Transactional core."
5,Create an Agent Skill guide,2430,74040,87.8%,"Creator flywheel."
6,Codex Skills hub,1870,75910,90.0%,"Client-specific expansion."
7,Awesome Claude Skills list,1400,77310,91.6%,"Best low-KD editorial target."
8,SKILL.md guide and validator landing,1330,78640,93.2%,"Format authority."
9,Agent Skill Security Checker landing,530,79170,93.8%,"Original tool and safety moat."
10,Browser Automation Skills hub,470,79640,94.4%,"Begin evidence-led categories."
11,Agent Skills vs MCP comparison,400,80040,94.9%,"Leverages existing MCP authority."
12,Design Skills hub,400,80440,95.4%,"Wave 1."
13,Code Quality Skills hub,320,80760,95.7%,"Publish after common fixture is ready."
14,Document Skills hub,320,81080,96.1%,"Publish after artifact QA."
15,Data Skills hub,310,81390,96.5%,"Wave 1."
16,Automation Skills hub,220,81610,96.7%,"Wave 1."
17,Game Development Skills hub,170,81780,96.9%,"Wave 2."
18,Verified detail-page cohort,2580,84360,100.0%,"Do not expand beyond verified two-of-five winners."
