rank,target_url,directional_cluster_volume,evidence_confidence,cumulative_volume,cumulative_share,cutoff_note
1,/guides/best-mcp-servers-for-marketing-teams,2900,low,2900,28.5%,"High-demand signal but unnatural exported phrase and stronger SERP; keep out of Wave 0 until title/intent and dataset selection are locked"
2,/guides/cursor-mcp-spawn-npx-enoent,1600,high,4500,44.3%,"Wave 0"
3,/compare/mcp-vs-a2a,1560,medium,6060,59.6%,"Wave 1 because comparison production cost is higher"
4,/compare/mcp-vs-rag,1310,high,7370,72.5%,"Wave 0"
5,/compare/mcp-resources-vs-tools,800,high,8170,80.4%,"Wave 0"
6,/compare/mcp-vs-cli,650,medium,8820,86.8%,"Wave 1"
7,/guides/best-mcp-servers-for-claude-code,510,high,9330,91.8%,"Wave 0"
8,/guides/best-mcp-servers-for-cursor,410,high,9740,95.9%,"Wave 0"
9,/guides/mcp-error-32001-request-timed-out,270,high,10010,98.5%,"Wave 0; smaller demand but strongest problem intent and KD 0"
10,/compare/mcp-vs-function-calling,150,medium,10160,100.0%,"Wave 1; easy SERP but lowest measured demand"
