cohort,item_id,proposed_url,seed_or_entity,measured_volume,priority,indexing_at_start,status,release_gate,primary_success_metric,notes
paid-entity,PE01,/skills/anthropics/frontend-design/,Frontend Design,590,P0,noindex,verification-queue,"Pass two evidence classes","Non-brand impressions per indexed page","Fixed UI build fixture."
paid-entity,PE02,/skills/nexu-io/ui-ux-pro-max/,UI UX Pro Max,320,P0,noindex,verification-queue,"Pass two evidence classes","Non-brand impressions per indexed page","Fixed UI audit fixture."
paid-entity,PE03,/skills/softaworks/humanizer/,Humanizer,320,P0,noindex,verification-queue,"Pass two evidence classes","Non-brand impressions per indexed page","Do not claim detector evasion."
paid-entity,PE04,/skills/microsoft/playwright-cli/,Playwright CLI,170,P0,noindex,verification-queue,"Pass two evidence classes","Install-copy rate","Browser task fixture."
paid-entity,PE05,/skills/remotion-dev/remotion/,Remotion,210,P0,noindex,verification-queue,"Pass two evidence classes","Install-copy rate","Render a short-video fixture."
paid-entity,PE06,/skills/notebooklm/,NotebookLM Skill,210,P1,noindex,owner-resolution,"Resolve owner and pass two evidence classes","Qualified external click rate","Source-grounding test."
paid-entity,PE07,/skills/figma/,Figma Skill,170,P1,noindex,owner-resolution,"Resolve owner and pass two evidence classes","Install-copy rate","Inspect permission scope."
paid-entity,PE08,/skills/n8n/,N8N Skills,170,P1,noindex,entity-resolution,"Separate distinct skills then pass gate","Non-brand impressions per indexed page","May become a category instead."
paid-entity,PE09,/skills/godot/,Godot Skills,170,P1,noindex,entity-resolution,"Separate distinct skills then pass gate","Non-brand impressions per indexed page","Exclude game skill-tree intent."
paid-entity,PE10,/skills/shadcn/,Shadcn Skill,110,P1,noindex,owner-resolution,"Resolve owner and pass two evidence classes","Install-copy rate","Multiple sources likely."
paid-entity,PE11,/skills/react-best-practices/,React Best Practices,90,P1,noindex,verification-queue,"Pass two evidence classes","Task completion rate","Seeded React bug fixture."
paid-entity,PE12,/skills/notion/,Notion Skill,90,P0,noindex,owner-resolution,"Resolve owner and pass two evidence classes","Qualified external click rate","Permission review required."
paid-entity,PE13,/skills/netresearch/context7-skill/,Context7 Skill,90,P2,noindex,verification-queue,"Pass two evidence classes","Install-copy rate","Check namesake risk."
paid-entity,PE14,/skills/excalidraw/,Excalidraw Skill,90,P1,noindex,owner-resolution,"Resolve owner and pass two evidence classes","Install-copy rate","Artifact test required."
paid-entity,PE15,/skills/obra/superpowers/,Superpowers,90,P0,noindex,verification-queue,"Pass two evidence classes","Task completion rate","Workflow task fixture."
paid-entity,PE16,/skills/dbt/,DBT Agent Skills,260,P1,noindex,entity-resolution,"Resolve package scope and pass gate","Qualified external click rate","May become a category."
paid-entity,PE17,/skills/agent-browser/,Agent Browser Skill,210,P1,noindex,owner-resolution,"Resolve owner and pass two evidence classes","Task completion rate","Browser fixture."
paid-entity,PE18,/skills/dev-browser/,Dev Browser Skill,170,P0,noindex,owner-resolution,"Resolve owner and pass two evidence classes","Task completion rate","Browser fixture."
paid-entity,PE19,/skills/skill-creator/,Skill Creator,1600,P0,noindex,merge-candidate,"Prove standalone intent beyond the create guide","Non-brand impressions per indexed page","Default to enrich /guides/create-agent-skill/."
paid-entity,PE20,/skills/skill-installer/,Skill Installer,110,P1,noindex,merge-candidate,"Prove standalone intent beyond the install guide","Non-brand impressions per indexed page","Default to enrich /guides/install-agent-skills/."
zero-volume-adoption,ZA01,/skills/openai/skills/,openai/skills,0,P1,noindex,supply-validation,"Confirm repository, license, install, and one task test","Qualified external click rate","Supply-first candidate."
