"id","domain","access","verified_route","capacity_per_account_or_action","clickability","current_state","next_step"
"70","bourges.onvasortir.com","accessible but restricted","public profile rich Bio with link editor","up to five links in one existing genuine personal profile","public example profiles contain clickable outbound links","signup requires confirmation that registration is not for business or advertising; not submitted","exclude promotional account creation; use only if the user already has a genuine personal account and links are natural"
"71","blog.cookaround.com","accessible","comment author Website; Altervista community/blog signup","one URL per contextual comment; blog profile capacity unknown","Website field expected to render author link","registration not submitted","inspect profile after authorized Altervista registration"
"73","www.thaiticketmajor.com","accessible","member registration/login","unknown","unknown","registration surface verified","register then inspect public member profile"
"74","www.riskresiliencelab.paloaltou.edu","accessible","none verified yet","unknown","unknown","Wix page accessible","inspect visible member/login navigation"
"75","www.extradom.pl","accessible","private customer account for favorites, downloads, and orders","zero public links observed","no public profile route observed","email step inspected; broad advertising-cookie consent appeared; registration not continued","keep searching for a public project/profile route before creating an account"
"77","decidim.u-pec.fr","accessible","Personal website plus About","one clickable Website URL per account; multiple plain-text mentions in About","Website is clickable with nofollow/ugc; About URLs are plain text","MCP Radar clickable link published; four brand mentions published","use another compliant route for remaining four targets"
"81","feedback.jobplanet.co.kr","inaccessible","none","zero while inaccessible","none","403 and connection closed","retry later"
"83","prismo.fedibird.com","accessible","independent Story submission","five stories from one account","all five outbound links verified clickable","five target stories published","monitor availability"
"84","app.geniusu.com","accessible","activated public user profile plus legacy Website/About edit fields","fields accept five URLs, but the public profile renders none of them","no target links present in the public DOM","account 2821204 activated; fields saved; public profile verified","do not count as backlink; retain account for future recheck"
"85","iubungei.cloud-line.com","accessible","comment author URL field","one URL per contextual comment","URL field can create an author link","form verified; no comment submitted","use only where a relevant contribution is possible"
"88","www.minemurashouten.com","accessible but slow","My Page login","unknown","unknown","login verified","inspect profile after authorized registration/login"
"91","quickcoop.videomarketingplatform.co","accessible","login and channel pages","unknown","unknown","account surface verified","inspect channel external-link fields"
"93","app.wedonthavetime.org","accessible","public profile social link","at least one social URL; normal Website capacity unknown","public LinkedIn link observed","public route verified","inspect signup and editable profile fields"
"95","blogg.ng.se","accessible","WordPress comment author Website field","one URL per contextual comment","Website field can create an author link","form verified; no comment submitted","use only where a relevant contribution is possible"
"96","pokemon.stranky1.cz","accessible","guestbook comment with CAPTCHA","no separate Website field observed","URL in body would be unverified/plain-text behavior","form verified; CAPTCHA present","ask user before CAPTCHA; avoid unrelated link-only comment"
"102","diariodecuba.com","accessible","Drupal user registration","unknown","unknown","registration submitted for wangknit; activation email not yet received; terms prohibit advertising in comments","wait for activation, inspect profile, and avoid promotional comments"
"104","video.assens.dk","accessible","none verified","unknown","unknown","no account controls in inspected page","continue visible navigation audit"
"108","tibatattoo.de","accessible","none verified","unknown","unknown","old .com corrected to .de; no member/profile controls observed","continue visible navigation audit"
"109","www.tvworthwatching.com","partially accessible","HTTP page only; Chrome rendered blank","unknown","unknown","HTTPS certificate mismatch","retry with a compatible browser"
"112","mattsoncreative.com","accessible","none verified","unknown","unknown","old WordPress page; no static registration/comment route observed","continue visible navigation audit"
