priority,keyword_cluster,primary_keyword,secondary_keywords,search_intent,page_action,page_type,target_url,existing_url,competitor_examples,serp_difficulty,reason,unique_value,evidence_sources,internal_links,status,brief_id
"P0","Canonical host and secure protocol","","http vs https | www vs non-www","Access one authoritative site version","merge","Technical infrastructure","https://www.mcpradars.com/{path}","http://mcpradars.com/{path} | http://www.mcpradars.com/{path} | https://mcpradars.com/{path}","Google canonical guidance","green","All four host/protocol variants currently return 200; consolidate crawl and ranking signals with one-hop 301 redirects.","One authoritative HTTPS/www URL for every resource.","Live HTTP checks 2026-08-25 | repository canonical configuration","All internal links and sitemap URLs","ready",""
"P0","Site trust and safe page experience","MCP Radar","MCP server directory","Evaluate whether the directory is trustworthy","enrich","Sitewide template","https://www.mcpradars.com/en","https://www.mcpradars.com/en","SafeMCP https://safemcp.info/","yellow","A third-party nap5k script was added four days before the decline; remove it during recovery and make evidence/methodology prominent.","Clean non-redirecting experience | transparent data dates | explicit limits of TrustScore.","app/layout.tsx | GSC Chart.csv | Google spam policies","/en/about | /en/editorial-policy | /en/mcp-server-health-report","ready","BRIEF-001"
"P0","High-signal MCP server evaluation pages","{server name} MCP server","is {server} reliable | {server} install | {server} tools","Evaluate and install one server","enrich","Entity detail pattern","https://www.mcpradars.com/en/server/{slug}","https://www.mcpradars.com/en/server/{slug}","Official project documentation | MCP Reference https://mcpreference.dev/ | Zevruna https://zevruna.com/servers","yellow","These pages generated most historical impressions but need at least two original differentiators to avoid scaled-template classification.","Firsthand install/tool verification | original lifecycle calculation | permission and failure judgment | maintainer evidence.","GSC Pages.csv | GSC Queries.csv | repository server data | live official documentation","/en/mcp-server-health-report | relevant category | comparison entity","ready","BRIEF-002"
"P0","Low-value catalog-only server records","long-tail server name","unknown MCP server | registry record","Look up a catalog record with insufficient evidence","noindex","Entity detail pattern","","https://www.mcpradars.com/en/server/{slug}","","red","Records that fail demand/entity, technical completeness, or added-value gates are useful in site search but are weak Search landing pages.","","GSC Pages.csv | sitemap.xml | repository data completeness","Keep followable links from catalog search only","ready",""
"P0","Untranslated Chinese entity records","{server name} MCP 服务器","MCP 服务器安装 | MCP 服务器评测","Evaluate a server in Chinese","noindex","Localized entity pattern","","https://www.mcpradars.com/zh/server/{slug}","","red","Entity-specific descriptions are largely shared with English pages; hreflang does not replace genuine localization or added value.","","Live source comparison | app locale rendering | sitemap.xml","/zh category pages remain crawlable where useful","ready",""
"P0","Duplicate entity setup landing pages","{tool} MCP server","{tool} MCP setup | {tool} MCP install","Evaluate and install the same entity","merge","Entity/landing overlap","https://www.mcpradars.com/en/server/{chosen-slug}","https://www.mcpradars.com/en/servers/{tool}-mcp-server | https://www.mcpradars.com/en/server/{slug}","Official entity documentation","yellow","Two self-canonical URLs frequently target the same entity and setup job; select one canonical experience per intent.","Consolidated authority and one complete entity experience.","GSC Pages.csv | lib/seo-landing.ts | live canonical checks","Relevant guide and category pages","ready",""
"P0","MCP ecosystem health report","MCP server health report","active MCP servers | abandoned MCP servers | MCP maintenance data","Understand ecosystem reliability and change","enrich","Original data report","https://www.mcpradars.com/en/mcp-server-health-report","https://www.mcpradars.com/en/mcp-server-health-report","Zevruna https://zevruna.com/servers | Dominion Observatory https://www.dominionobservatory.com/servers/","yellow","A system-level original-data asset is a stronger recovery anchor than thousands of thin entity pages.","Versioned methodology | dated cohort metrics | change history | downloadable evidence.","Repository ecosystem report | live dataset | Google scaled-content policy","/en | /en/leaderboard | selected entity pages","ready","BRIEF-003"
"P0","Evidence-first MCP directory homepage","MCP server directory","find MCP servers | verified MCP servers | MCP server comparison","Discover trustworthy candidates","enrich","Homepage","https://www.mcpradars.com/en","https://www.mcpradars.com/en","MCP Reference https://mcpreference.dev/ | SafeMCP https://safemcp.info/","yellow","The homepage must lead with verified evidence and scope rather than raw record count.","Verified coverage ratio | evidence filters | transparent limitations | direct paths to tested pages.","GSC Pages.csv | live homepage | competitor SERPs","/en/mcp-server-health-report | /en/leaderboard | selected categories","ready","BRIEF-004"
"P1","MCP server leaderboard","best MCP servers","top MCP servers | reliable MCP servers | MCP server ranking","Compare and shortlist servers","enrich","Leaderboard","https://www.mcpradars.com/en/leaderboard","https://www.mcpradars.com/en/leaderboard","MCPfinder GitHub https://github.com/mcp-finder/best-mcp-servers-2026 | Top MCPs https://top-mcps.com/guides/mcp-directories-compared","yellow","The page earned the most impressions but had zero clicks and is 11.9 MB; it needs useful shortlist logic and a smaller payload.","Explainable ranking cohorts | tested-only filter | evidence gaps | compact server-rendered shortlist.","GSC Pages.csv | live payload checks | repository scoring methodology","/en/mcp-server-health-report | selected entity pages","planned","BRIEF-005"
"P1","MCP troubleshooting guides","spawn npx ENOENT","MCP server disconnected | MCP install error | npx MCP error","Fix a specific MCP setup failure","enrich","Guide pattern","https://www.mcpradars.com/en/guides/{validated-slug}","https://www.mcpradars.com/en/guides/{slug}","Official project issues and documentation","green","The ENOENT guide already earned clicks and impressions; troubleshooting intent supports firsthand reproducible evidence.","Reproduction matrix | verified commands | OS/client variants | exact failure logs and rollback.","GSC Pages.csv | GSC Queries.csv | official issue trackers","Relevant entity pages | /en/guides","planned","BRIEF-006"
"P1","Selected MCP category and topic hubs","best {category} MCP servers","{category} MCP tools | compare {category} MCP servers","Compare candidates for one job","enrich","Category/topic hub pattern","https://www.mcpradars.com/en/category/{qualified-slug}","https://www.mcpradars.com/en/category/{slug} | https://www.mcpradars.com/en/topic/{slug}","Curated competitor category pages","yellow","Only hubs with real selection logic and enough qualified candidates should remain indexable.","Editorial shortlist criteria | trade-off table | tested/verified status | explicit exclusions.","GSC Pages.csv | repository taxonomy | live competitor pages","Health report | selected entity pages | relevant guides","planned","BRIEF-007"
"P1","Thin category and topic hubs","{category} MCP servers","small MCP category | unsupported topic","Browse a weak or ambiguous taxonomy group","noindex","Category/topic hub pattern","","https://www.mcpradars.com/en/category/{weak-slug} | https://www.mcpradars.com/en/topic/{weak-slug}","","red","Hubs without selection logic, sufficient qualified candidates, or distinct intent add another templated index surface.","","GSC Pages.csv | repository taxonomy counts","Keep navigable from site search when useful","planned",""
"P2","Genuinely localized Chinese entity pages","{server name} MCP 服务器","MCP 安装 | MCP 权限 | MCP 故障排查","Evaluate and install a server in Chinese","enrich","Localized entity pattern","https://www.mcpradars.com/zh/server/{qualified-slug}","https://www.mcpradars.com/zh/server/{slug}","Chinese official/community documentation where available","yellow","Resume indexing only after entity-specific translation and Chinese user-context evidence are complete.","Native Chinese explanation | localized client steps | local ecosystem issues | same verification evidence as English.","GSC Countries.csv | GSC Pages.csv | verified English source page","/zh categories | alternate English entity page","hold",""
"Reject","Bulk new entity/keyword pages","new MCP server pages","daily server pages | keyword landing pages","Capture additional long-tail queries","reject","Programmatic expansion","","","","red","The site must prove sustained quality on its existing core before expanding the indexable footprint.","","August 2026 spam update | current sitemap size","","rejected",""
"Reject","Mass indexing or generic authority tactics","request indexing all URLs","bulk backlinks | mass SEO copy | mass URL inspection","Force faster recovery","reject","Operational tactic","","","","red","Algorithmic recovery depends on durable quality and compliance; mass submissions or indiscriminate links do not repair the triggering signals.","","Google spam-update guidance | Google traffic-drop guidance","","rejected",""
